fixture_id,type,resource_kind,domain,scope,multi_hop,source_reference,api_reference,expected_paths,yaml_syntactic,yaml_schema,so_question_id,so_answer_score,so_url,gt_nodes_count
kubectl_export_namespace_resources,command,Namespace,Cluster,Cluster,False,https://kubernetes.io/docs/concepts/overview/working-with-objects/namespaces/,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,3,,,,,,7
kubectl_find_pods_with_env,command,Pod,Workload,Namespaced,False,https://kubernetes.io/docs/concepts/workloads/pods/,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,111,,,,,,86
kubectl_force_delete_pod,command,Pod,Workload,Namespaced,False,https://kubernetes.io/docs/concepts/workloads/pods/,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,111,,,,,,86
configmap_usage,conceptual,ConfigMap,Configuration,Namespaced,True,https://kubernetes.io/docs/concepts/configuration/configmap/,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,2,,,,,,4
daemonset_purpose,conceptual,DaemonSet,Workload,Namespaced,False,https://kubernetes.io/docs/concepts/workloads/controllers/daemonset/,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,8,,,,,,8
deployment_basic,conceptual,Deployment,Workload,Namespaced,True,https://kubernetes.io/docs/concepts/workloads/controllers/deployment/,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,10,,,,,,9
hpa_target,conceptual,HorizontalPodAutoscaler,Autoscaling,Namespaced,True,https://kubernetes.io/docs/tasks/run-application/horizontal-pod-autoscale/,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,21,,,,,,23
ingress_purpose,conceptual,Ingress,Networking,Namespaced,True,https://kubernetes.io/docs/concepts/services-networking/ingress/,https://kubernetes.io/docs/reference/kubernetes-api/service-resources/,14,,,,,,14
job_cronjob,conceptual,Job,Workload,Namespaced,False,https://kubernetes.io/docs/concepts/workloads/controllers/job/,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,10,,,,,,12
namespace_quota,conceptual,ResourceQuota,Policy,Namespaced,True,https://kubernetes.io/docs/concepts/policy/resource-quotas/,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,5,,,,,,5
persistent_volume_concept,conceptual,PersistentVolumeClaim,Storage,Namespaced,True,https://kubernetes.io/docs/concepts/storage/persistent-volumes/#persistentvolumeclaims,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,12,,,,,,14
pod_spec,conceptual,PodSpec,Workload,Namespaced,False,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/pod-v1/#PodSpec,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,93,,,,,,73
required_fields_container,conceptual,Container,Workload,Namespaced,False,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/pod-v1/#Container,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,30,,,,,,30
scope_accuracy_node,conceptual,Node,Cluster,Cluster,False,https://kubernetes.io/docs/concepts/architecture/nodes/,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,14,,,,,,16
secret_types,conceptual,Secret,Configuration,Namespaced,False,https://kubernetes.io/docs/concepts/configuration/secret/,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,0,,,,,,3
service_types,conceptual,Service,Networking,Namespaced,True,https://kubernetes.io/docs/concepts/services-networking/service/,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,12,,,,,,13
statefulset_storage,conceptual,StatefulSet,Workload,Namespaced,False,https://kubernetes.io/docs/concepts/workloads/controllers/statefulset/,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,15,,,,,,14
storageclass_concept,conceptual,StorageClass,Storage,Cluster,False,https://kubernetes.io/docs/concepts/storage/storage-classes/,https://kubernetes.io/docs/reference/kubernetes-api/config-and-storage-resources/,2,,,,,,5
add_env_from_configmap,followup,Deployment,Workload,Namespaced,True,https://kubernetes.io/docs/concepts/workloads/controllers/deployment/,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,12,,,,,,12
add_env_from_secret,followup,Deployment,Workload,Namespaced,True,https://kubernetes.io/docs/concepts/workloads/controllers/deployment/,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,9,,,,,,10
add_hpa_to_deployment,followup,HorizontalPodAutoscaler,Autoscaling,Namespaced,True,https://kubernetes.io/docs/tasks/run-application/horizontal-pod-autoscale/,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,22,True,True,,,,24
add_liveness_probe,followup,Deployment,Workload,Namespaced,True,https://kubernetes.io/docs/concepts/workloads/controllers/deployment/,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,11,,,,,,11
add_pvc_to_statefulset,followup,StatefulSet,Workload,Namespaced,True,https://kubernetes.io/docs/concepts/workloads/controllers/statefulset/,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,15,,,,,,14
add_readiness_probe,followup,Deployment,Workload,Namespaced,True,https://kubernetes.io/docs/concepts/workloads/controllers/deployment/,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,9,,,,,,10
add_resource_limits,followup,Deployment,Workload,Namespaced,True,https://kubernetes.io/docs/concepts/workloads/controllers/deployment/,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,9,,,,,,10
add_resource_limits_deployment,followup,Deployment,Workload,Namespaced,True,https://kubernetes.io/docs/concepts/workloads/controllers/deployment/,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,10,,,,,,10
change_service_type,followup,Service,Networking,Namespaced,False,https://kubernetes.io/docs/concepts/services-networking/service/,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,10,,,,,,10
expose_with_ingress,followup,Ingress,Networking,Namespaced,True,https://kubernetes.io/docs/concepts/services-networking/ingress/,https://kubernetes.io/docs/reference/kubernetes-api/service-resources/,10,True,True,,,,11
scale_existing_deployment,followup,Deployment,Workload,Namespaced,False,https://kubernetes.io/docs/concepts/workloads/controllers/deployment/,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,9,,,,,,8
update_image_version,followup,Deployment,Workload,Namespaced,True,https://kubernetes.io/docs/concepts/workloads/controllers/deployment/,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,9,,,,,,9
plan_autoscale_ha,planning,Deployment,Workload,Namespaced,True,https://kubernetes.io/docs/concepts/workloads/controllers/deployment/,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,34,,,,,,33
plan_cronjob_batch,planning,CronJob,Workload,Namespaced,True,https://kubernetes.io/docs/concepts/workloads/controllers/cron-jobs/,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,11,,,,,,13
plan_namespace_isolation,planning,NetworkPolicy,Networking,Namespaced,True,https://kubernetes.io/docs/concepts/services-networking/network-policies/,https://kubernetes.io/docs/reference/kubernetes-api/service-resources/,11,,,,,,11
plan_redis_persistent,planning,StatefulSet,Workload,Namespaced,True,https://kubernetes.io/docs/concepts/workloads/controllers/statefulset/,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,47,,,,,,44
plan_webapp_with_db,planning,Deployment,Workload,Namespaced,True,https://kubernetes.io/docs/concepts/workloads/controllers/deployment/,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,35,,,,,,34
configmap_volume_mount,realworld,ConfigMap,Configuration,Namespaced,True,https://stackoverflow.com/questions/39293507,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,3,True,True,39293507,47,https://stackoverflow.com/questions/39293507,4
deployment_vs_statefulset_comparison,realworld,Deployment,Workload,Namespaced,True,https://stackoverflow.com/questions/48072461,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,34,,,48072461,89,https://stackoverflow.com/questions/48072461,31
hpa_custom_metrics_yaml,realworld,HorizontalPodAutoscaler,Autoscaling,Namespaced,True,https://stackoverflow.com/questions/57075577,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,50,True,True,57075577,15,https://stackoverflow.com/questions/57075577,46
pbased_on_a_hrefhttpsstackoverflowcomquestions599,realworld,Pod,Workload,Namespaced,True,https://stackoverflow.com/questions/Zaman,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,111,,,Zaman,0,https://stackoverflow.com/questions/Zaman,86
pcopied_from_here_a_hrefhttpsgithubcomkubeflowpi,realworld,Namespace,Cluster,Cluster,True,https://stackoverflow.com/questions/aronchick,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,3,,,aronchick,0,https://stackoverflow.com/questions/aronchick,4
pheres_a_simplified_version_of_a,realworld,Job,Workload,Namespaced,True,https://stackoverflow.com/questions/David Parks,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,34,,,David Parks,0,https://stackoverflow.com/questions/David Parks,32
pi_am_quite_new_to_tektonp,realworld,Pod,Workload,Namespaced,True,https://stackoverflow.com/questions/Shresth Suman,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,111,,,Shresth Suman,0,https://stackoverflow.com/questions/Shresth Suman,86
pi_am_wondering_if_it_is,realworld,Secret,Configuration,Namespaced,True,https://stackoverflow.com/questions/boringDeveloper,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,0,,,boringDeveloper,0,https://stackoverflow.com/questions/boringDeveloper,1
pi_cant_find_documentation_on_how,realworld,Namespace,Cluster,Cluster,True,https://stackoverflow.com/questions/Toren,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,3,,,Toren,0,https://stackoverflow.com/questions/Toren,4
pi_have_a_command_to_run,realworld,Pod,Workload,Namespaced,True,https://stackoverflow.com/questions/user84592,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,111,,,user84592,0,https://stackoverflow.com/questions/user84592,86
pi_have_a_google_kubernetes_cluster,realworld,Node,Cluster,Cluster,True,https://stackoverflow.com/questions/Harry Stuart,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,19,,,Harry Stuart,0,https://stackoverflow.com/questions/Harry Stuart,19
pi_have_a_tekton_codepipelinecode_and,realworld,PersistentVolumeClaim,Storage,Namespaced,True,https://stackoverflow.com/questions/jdev,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,14,,,jdev,0,https://stackoverflow.com/questions/jdev,14
pi_want_to_pass_a_certificate,realworld,Secret,Configuration,Namespaced,True,https://stackoverflow.com/questions/Darshil Shah,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,0,,,Darshil Shah,0,https://stackoverflow.com/questions/Darshil Shah,1
pi_want_to_reject_all_docker,realworld,Namespace,Cluster,Cluster,True,https://stackoverflow.com/questions/Konstantin Vustin,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,3,,,Konstantin Vustin,0,https://stackoverflow.com/questions/Konstantin Vustin,4
pid_like_to_confirm_information_of,realworld,Role,Access Control,Namespaced,True,https://stackoverflow.com/questions/kawty,https://kubernetes.io/docs/reference/kubernetes-api/authorization-resources/,1,,,kawty,0,https://stackoverflow.com/questions/kawty,2
pim_trying_to_use_a_container,realworld,Job,Workload,Namespaced,True,https://stackoverflow.com/questions/wtfc63,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,34,,,wtfc63,0,https://stackoverflow.com/questions/wtfc63,32
pim_using_argocd_and_i_want,realworld,Namespace,Cluster,Cluster,True,https://stackoverflow.com/questions/Stewe,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,3,True,,Stewe,0,https://stackoverflow.com/questions/Stewe,4
pkubectl_provides_a_nice_way_to,realworld,Secret,Configuration,Namespaced,True,https://stackoverflow.com/questions/Sayon Roy Choudhury,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,0,,,Sayon Roy Choudhury,0,https://stackoverflow.com/questions/Sayon Roy Choudhury,1
precodespec_containers_image_nginx_imagepul,realworld,Pod,Workload,Namespaced,True,https://stackoverflow.com/questions/Valentin Bichok,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,111,,,Valentin Bichok,0,https://stackoverflow.com/questions/Valentin Bichok,86
pthis_eks_cluster_has_a_private,realworld,Role,Access Control,Namespaced,True,https://stackoverflow.com/questions/Morariu,https://kubernetes.io/docs/reference/kubernetes-api/authorization-resources/,1,,,Morariu,0,https://stackoverflow.com/questions/Morariu,2
pusing_kubernetes_v1157_in_minikube_and,realworld,Secret,Configuration,Namespaced,True,https://stackoverflow.com/questions/Andrew DiNunzio,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,0,,,Andrew DiNunzio,0,https://stackoverflow.com/questions/Andrew DiNunzio,1
pwhen_using_istio_with_kubernetes_a,realworld,Secret,Configuration,Namespaced,True,https://stackoverflow.com/questions/Boon,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,0,,,Boon,0,https://stackoverflow.com/questions/Boon,1
pwith_kubectl_i_know_i_can,realworld,Namespace,Cluster,Cluster,True,https://stackoverflow.com/questions/jlrivera81,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,3,,,jlrivera81,0,https://stackoverflow.com/questions/jlrivera81,4
serviceaccount_pod_binding,realworld,ServiceAccount,Access Control,Namespaced,True,https://stackoverflow.com/questions/53183219,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,5,True,True,53183219,18,https://stackoverflow.com/questions/53183219,6
anyof_intorstring,relationship,ContainerPort,Workload,Namespaced,True,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/pod-v1/#ContainerPort,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,1,,,,,,3
cronjob_job_pod,relationship,CronJob,Workload,Namespaced,True,https://kubernetes.io/docs/concepts/workloads/controllers/cron-jobs/,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,10,,,,,,10
deep_deployment_container_resources,relationship,Deployment,Workload,Namespaced,True,https://kubernetes.io/docs/concepts/workloads/controllers/deployment/,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,33,,,,,,29
deep_statefulset_container_probe,relationship,StatefulSet,Workload,Namespaced,True,https://kubernetes.io/docs/concepts/workloads/controllers/statefulset/,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,47,,,,,,42
deployment_pod_relation,relationship,Deployment,Workload,Namespaced,True,https://kubernetes.io/docs/concepts/workloads/controllers/deployment/,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,32,,,,,,29
extends_hpa_metric,relationship,HorizontalPodAutoscaler,Autoscaling,Namespaced,True,https://kubernetes.io/docs/tasks/run-application/horizontal-pod-autoscale/,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,50,,,,,,46
hpa_deployment_pod,relationship,HorizontalPodAutoscaler,Autoscaling,Namespaced,True,https://kubernetes.io/docs/tasks/run-application/horizontal-pod-autoscale/,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,50,,,,,,46
ingress_service_pod,relationship,Ingress,Networking,Namespaced,True,https://kubernetes.io/docs/concepts/services-networking/ingress/,https://kubernetes.io/docs/reference/kubernetes-api/service-resources/,23,,,,,,22
namespace_quota_relation,relationship,Namespace,Cluster,Cluster,True,https://kubernetes.io/docs/concepts/overview/working-with-objects/namespaces/,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,5,,,,,,6
networkpolicy_pod_selector,relationship,NetworkPolicy,Networking,Namespaced,True,https://kubernetes.io/docs/concepts/services-networking/network-policies/,https://kubernetes.io/docs/reference/kubernetes-api/service-resources/,9,,,,,,8
oneof_volume_source,relationship,Volume,Storage,Namespaced,True,https://kubernetes.io/docs/concepts/storage/volumes/,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,59,,,,,,46
pod_namespace_relation,relationship,Pod,Workload,Namespaced,False,https://kubernetes.io/docs/concepts/workloads/pods/,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,111,,,,,,87
pvc_storageclass,relationship,PersistentVolumeClaim,Storage,Namespaced,True,https://kubernetes.io/docs/concepts/storage/persistent-volumes/#persistentvolumeclaims,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,14,,,,,,14
rbac_binding,relationship,RoleBinding,Access Control,Namespaced,True,https://kubernetes.io/docs/reference/access-authn-authz/rbac/#rolebinding-and-clusterrolebinding,https://kubernetes.io/docs/reference/kubernetes-api/authorization-resources/,7,,,,,,8
secret_usage,relationship,Secret,Configuration,Namespaced,True,https://kubernetes.io/docs/concepts/configuration/secret/,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,4,,,,,,5
service_selector,relationship,Service,Networking,Namespaced,True,https://kubernetes.io/docs/concepts/services-networking/service/,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,42,,,,,,38
serviceaccount_token_binding,relationship,ServiceAccount,Access Control,Namespaced,True,https://kubernetes.io/docs/concepts/security/service-accounts/,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,4,,,,,,5
statefulset_pvc_pv,relationship,StatefulSet,Workload,Namespaced,True,https://kubernetes.io/docs/concepts/workloads/controllers/statefulset/,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,46,,,,,,41
crashloopbackoff_oomkilled,troubleshooting,Pod,Workload,Namespaced,True,https://kubernetes.io/docs/concepts/workloads/pods/,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,112,,,,,,87
deployment_rollout_stuck,troubleshooting,Deployment,Workload,Namespaced,True,https://kubernetes.io/docs/concepts/workloads/controllers/deployment/,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,32,,,,,,29
imagepullbackoff_registry_secret,troubleshooting,Pod,Workload,Namespaced,True,https://kubernetes.io/docs/concepts/workloads/pods/,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,111,,,,,,86
pod_pending_no_resources,troubleshooting,Pod,Workload,Namespaced,True,https://kubernetes.io/docs/concepts/workloads/pods/,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,111,,,,,,86
service_no_endpoints,troubleshooting,Service,Networking,Namespaced,True,https://kubernetes.io/docs/concepts/services-networking/service/,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,43,,,,,,39
clusterrole_read_pods,yaml_gen,ClusterRole,Access Control,Cluster,False,https://kubernetes.io/docs/reference/access-authn-authz/rbac/#role-and-clusterrole,https://kubernetes.io/docs/reference/kubernetes-api/authorization-resources/,4,,,,,,5
clusterrolebinding_yaml,yaml_gen,ClusterRoleBinding,Access Control,Cluster,True,https://kubernetes.io/docs/reference/access-authn-authz/rbac/#rolebinding-and-clusterrolebinding,https://kubernetes.io/docs/reference/kubernetes-api/authorization-resources/,9,True,True,,,,10
configmap_env,yaml_gen,ConfigMap,Configuration,Namespaced,False,https://kubernetes.io/docs/concepts/configuration/configmap/,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,0,,,,,,1
cronjob_backup,yaml_gen,CronJob,Workload,Namespaced,True,https://kubernetes.io/docs/concepts/workloads/controllers/cron-jobs/,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,10,True,True,,,,10
daemonset_fluentd,yaml_gen,DaemonSet,Workload,Namespaced,True,https://kubernetes.io/docs/concepts/workloads/controllers/daemonset/,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,31,True,True,,,,29
deployment_3_replicas,yaml_gen,Deployment,Workload,Namespaced,True,https://kubernetes.io/docs/concepts/workloads/controllers/deployment/,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,32,True,True,,,,29
deployment_liveness_probe,yaml_gen,Deployment,Workload,Namespaced,True,https://kubernetes.io/docs/concepts/workloads/controllers/deployment/,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,32,True,True,,,,30
ingress_rules,yaml_gen,Ingress,Networking,Namespaced,True,https://kubernetes.io/docs/concepts/services-networking/ingress/,https://kubernetes.io/docs/reference/kubernetes-api/service-resources/,21,True,True,,,,21
networkpolicy_deny_all,yaml_gen,NetworkPolicy,Networking,Namespaced,False,https://kubernetes.io/docs/concepts/services-networking/network-policies/,https://kubernetes.io/docs/reference/kubernetes-api/service-resources/,9,True,True,,,,8
pod_configmap_volume,yaml_gen,Pod,Workload,Namespaced,True,https://kubernetes.io/docs/concepts/workloads/pods/,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,111,True,True,,,,86
pvc_dynamic,yaml_gen,PersistentVolumeClaim,Storage,Namespaced,False,https://kubernetes.io/docs/concepts/storage/persistent-volumes/#persistentvolumeclaims,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,14,True,True,,,,14
rolebinding_dev,yaml_gen,RoleBinding,Access Control,Namespaced,False,https://kubernetes.io/docs/reference/access-authn-authz/rbac/#rolebinding-and-clusterrolebinding,https://kubernetes.io/docs/reference/kubernetes-api/authorization-resources/,7,True,True,,,,8
service_nodeport,yaml_gen,Service,Networking,Namespaced,True,https://kubernetes.io/docs/concepts/services-networking/service/,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,42,True,True,,,,38
statefulset_with_pvc,yaml_gen,StatefulSet,Workload,Namespaced,True,https://kubernetes.io/docs/concepts/workloads/controllers/statefulset/,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,46,True,True,,,,41
yaml_layer3_required_fields,yaml_gen,Deployment,Workload,Namespaced,True,https://kubernetes.io/docs/concepts/workloads/controllers/deployment/,https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/,32,True,True,,,,29
